	MONO-27	Bat-26	NR-24	Bat25	NR-21
1	0.0	0.08	0.03	0.04	0.0
2	0.0	0.05	0.15	0.05	0.01
3	0.05	0.04	0.0	0.05	0.02
4	1.1	0.05	0.03	0.06	0.04
5	0.0	0.04	0.04	0.09	0.03
6	0.25	0.01	0.02	0.04	0.0
7	0.08	0.07	0.02	0.05	0.04
8	0.0	0.01	0.01	0.11	0.02
9	0.05	0.01	0.01	0.07	0.05
10	0.03	0.09	0.0	0.05	0.02
11	0.05	0.07	0.07	0.09	0.02
12	0.05	0.01	0.05	0.03	0.06
13	0.09	0.02	0.04	0.08	0.05
14	0.03	0.07	0.0	0.11	0.09
15	0.04	0.1	0.07	0.09	0.04
16	0.0	0.18	0.21	0.14	0.11
17	0.16	0.2	0.41	0.1	0.28
18	0.04	0.47	0.84	0.14	0.56
19	0.06	0.87	1.71	0.57	1.63
20	0.16	2.1	3.72	0.89	4.44
21	0.23	3.91	9.57	1.94	19.94
22	0.51	6.47	20.38	4.41	20.0
23	0.9	12.04	37.73	10.1	26.36
24	1.23	18.09	14.42	23.26	16.69
25	2.26	21.6	6.88	32.39	6.59
26	4.37	20.41	2.0	17.01	2.11
27	7.37	9.52	0.94	5.7	0.53
28	21.2	2.6	0.48	1.64	0.2
29	19.36	0.62	0.1	0.34	0.03
30	16.52	0.11	0.03	0.11	0.02
31	10.54	0.08	0.03	0.04	0.0
32	6.31	0.02	0.02	0.03	0.0
33	3.49	0.0	0.0	0.02	0.0
34	1.61	0.0	0.0	0.14	0.0
35	0.53	0.0	0.0	0.01	0.0
36	0.35	0.0	0.0	0.0	0.0
37	0.99	0.0	0.0	0.0	0.0
38	0.0	0.01	0.0	0.0	0.0
39	0.0	0.0	0.0	0.0	0.0
40	0.0	0.0	0.0	0.0	0.0
41	0.0	0.0	0.0	0.0	0.0
42	0.0	0.0	0.0	0.0	0.0
43	0.0	0.0	0.0	0.0	0.0
44	0.0	0.0	0.0	0.0	0.0
45	0.0	0.0	0.0	0.0	0.0
46	0.0	0.0	0.0	0.0	0.0
47	0.0	0.0	0.0	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0
49	0.0	0.0	0.0	0.0	0.0
50	0.0	0.0	0.0	0.0	0.0
51	0.0	0.0	0.0	0.0	0.0
52	0.0	0.0	0.0	0.0	0.0
53	0.0	0.0	0.0	0.0	0.0
54	0.0	0.0	0.0	0.0	0.0
55	0.0	0.0	0.0	0.0	0.0
56	0.0	0.0	0.0	0.0	0.0
57	0.0	0.0	0.0	0.0	0.0
58	0.0	0.0	0.0	0.0	0.0
59	0.0	0.0	0.0	0.0	0.0
60	0.0	0.0	0.0	0.0	0.0
